Word,manual_modality
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
we,amodal
week,amodal
week,amodal
week,amodal
went,amodal
went,amodal
went,amodal
went,amodal
whatever,amodal
while,amodal
who,amodal
who,amodal
who,amodal
why,amodal
why,amodal
why,amodal
why,amodal
why,amodal
why,amodal
why,amodal
why,amodal
why,amodal
why,amodal
will,amodal
will,amodal
will,amodal
will,amodal
will,amodal
will,amodal
will,amodal
will,amodal
will,amodal
yesterday,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
you,amodal
