"","...1","Word","VIHI_ID","group","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","sampling_type","utt_loc","uttnum","xds","speaker","Modality"
"121",121,"you","VI_033_820","VI",2.5,0.555555556,3,3.722222222,1.388888889,3.555555556,3.263157895,3.526315789,4.421052632,3.842105263,3.526315789,2.007339474,1.247219129,1.814970426,1.447332457,1.883016631,1.68809751,2.207112373,2.091475318,1.304513084,1.863782233,2.245202813,3.722222222,5.217055148,0.21509434,"Interoceptive",4.421052632,6.427795996,0.062322946,"Head",4.421052632,7.414255961,0.116076916,"Head","high-volubility","Word1",30572,"A","MA1","Multimodal"
"122",122,"like","VI_012_562","VI",1.666666667,1.285714286,1.476190476,3.142857143,1.476190476,1.857142857,1.105263158,1.684210526,3.789473684,2.894736842,1.473684211,1.906130461,1.901127485,1.88730092,1.956673562,1.9136104,2.007130147,1.997073883,2.001461454,1.750522061,2.078854835,2.143942916,3.142857143,3.699625483,0.170305677,"Interoceptive",3.789473684,4.447989658,0.245192308,"Head",3.789473684,5.175617727,0.122835188,"Head","high-volubility","Word5",23836,"C","FA1","Amodal"
"123",123,"is","TD_473_844","TD",1.526315789,0.631578947,0.578947368,1.263157895,0.684210526,1.684210526,1.105263158,1.157894737,2.105263158,1.578947368,1.315789474,2.091475318,1.605910137,1.57465303,2.104020101,1.66842013,2.161600014,1.822535988,1.772103518,2.208436773,2.008752777,2.029029094,1.684210526,2.231695812,0.173553719,"Visual",2.105263158,2.642300122,0.137681159,"Head",2.105263158,3.092063091,0.111969112,"Head","high-volubility","Word2",20662,"C","FA1","Amodal"
"124",124,"your","VI_002_336","VI",1.166666667,0.166666667,0.666666667,1.277777778,0.166666667,1,0.857142857,1,1.80952381,1.476190476,0.619047619,1.653872461,0.707106781,1.283377896,1.934381055,0.707106781,1.644956642,1.768776817,1.760681686,2.182178902,1.9136104,1.499206139,1.277777778,1.707666276,0.25,"Interoceptive",1.80952381,2.224576654,0.20661157,"Head",1.80952381,2.519244605,0.16096423,"Head",NA,"Word1",37880,"C","FA1","Amodal"
"125",125,"a","VI_047_440","VI",2.214285714,0,0.428571429,0,0,2.428571429,0,0.357142857,1.071428571,0.357142857,0,2.259290952,0,0.937614462,0,0,2.408775166,0,1.33630621,2.129076568,1.33630621,0,2.428571429,2.934084965,0.478873239,"Visual",1.071428571,1.097256009,0.6,"Head",2.428571429,2.984369628,0.354166667,"Visual","random","Word4",43709,"C","MA3","Amodal"
"126",126,"my","TD_472_829","TD",1.555555556,0.555555556,1.5,1.722222222,0.5,1.833333333,1.857142857,1.904761905,2.285714286,2.047619048,1.904761905,1.916560099,1.464168996,1.886484437,2.023554111,1.339446769,1.947849493,2.372461049,2.343176517,2.452404068,2.355338415,2.343176517,1.833333333,2.654555417,0.173913043,"Visual",2.285714286,3.441292396,0.042857143,"Head",2.285714286,3.903071078,0.101078167,"Head","high-volubility","Word7",9806,"C","FA1","Amodal"
"127",127,"come","TD_436_678","TD",1.357142857,0,0.392857143,0.535714286,0,2.464285714,1.428571429,1.238095238,1.380952381,0.571428571,1,1.66030532,0,0.916486274,1.318869967,0,1.971691187,1.748468718,1.786190413,1.687488977,1.362770288,1.760681686,2.464285714,2.605063618,0.518796992,"Visual",1.428571429,2.051449217,0.152542373,"Foot_leg",2.464285714,2.974310241,0.237657865,"Visual","random","Word1",7752,"C","FA1","Amodal"
"128",128,"you","VI_008_707","VI",2.5,0.555555556,3,3.722222222,1.388888889,3.555555556,3.263157895,3.526315789,4.421052632,3.842105263,3.526315789,2.007339474,1.247219129,1.814970426,1.447332457,1.883016631,1.68809751,2.207112373,2.091475318,1.304513084,1.863782233,2.245202813,3.722222222,5.217055148,0.21509434,"Interoceptive",4.421052632,6.427795996,0.062322946,"Head",4.421052632,7.414255961,0.116076916,"Head","high-volubility","Word2",35877,"C","FA2","Multimodal"
"129",129,"it","TD_443_341","TD",2.375,1.75,1.6875,1.625,1.9375,2.9375,0.473684211,1.947368421,2.315789474,1.052631579,0.684210526,2.093641166,2.081665999,1.990602924,2.028957039,2.14378948,1.87860764,1.020262551,1.928548222,2.109571615,1.508261848,1.108183277,2.9375,3.925125973,0.106598985,"Visual",2.315789474,2.776207518,0.284552846,"Head",2.9375,4.342185164,0.131150411,"Visual","high-volubility","Word6",5321,"C","FA1","Amodal"
"130",130,"love","TD_443_341","TD",2.055555556,0.722222222,3,4.388888889,1.055555556,2.666666667,1.5,2.444444444,3.666666667,3.611111111,3.333333333,2.013840996,1.319784098,1.782265577,1.334558261,1.589384721,2,2.065116433,2.202197358,1.909727421,1.85151413,1.909727421,4.388888889,5.201644285,0.264,"Interoceptive",3.666666667,5.329818608,0.148854962,"Head",4.388888889,6.63538846,0.12890625,"Interoceptive","high-volubility","Word4",4811,"A","FA1","Multimodal"
