"","begintime_msec","endtime_msec","duration_msec","context","sampling_type","on_off","code","code_num","vcm","xds","lex","mwu","is_silent","PI","inq","utt","Description","File","File Path","speaker","utterance","VIHI_ID","group"
"40","11045749",11046214,465,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"41","11049451",11049588,137,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"42","11050596",11051509,913,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"43","11067696",11067937,241,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"44","11086071",11086626,555,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"45","11143119",11143490,371,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"46","11868867",11869274,407,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"47","11869773",11870218,445,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"48","11877773",11878234,461,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"49","11880169",11880374,205,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
